ORDER_NUM,TRX_DT,RAW_TRX_DT,PRICE,CALC_VALUE,CALC_FORMULA,EXCEL_FORMULA,MEAN,SQUARE_OF_DIFF
"0","2011/01/07","1/7/2011 12:00:00 AM","$5.396","0.0476","Natural Logarithm ($5.3961 / $5.1451)","0.0476","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G3-H3)*(G3-H3)"
"0","2011/01/14","1/14/2011 12:00:00 AM","$5.427","0.0058","Natural Logarithm ($5.4275 / $5.3961)","=ln(D4/D3)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G4-H4)*(G4-H4)"
"0","2011/01/21","1/21/2011 12:00:00 AM","$5.125","-0.0572","Natural Logarithm ($5.1255 / $5.4275)","=ln(D5/D4)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G5-H5)*(G5-H5)"
"0","2011/01/28","1/28/2011 12:00:00 AM","$5.247","0.0234","Natural Logarithm ($5.2471 / $5.1255)","=ln(D6/D5)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G6-H6)*(G6-H6)"
"0","2011/02/04","2/4/2011 12:00:00 AM","$5.227","-0.0037","Natural Logarithm ($5.2275 / $5.2471)","=ln(D7/D6)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G7-H7)*(G7-H7)"
"0","2011/02/11","2/11/2011 12:00:00 AM","$5.314","0.0164","Natural Logarithm ($5.3137 / $5.2275)","=ln(D8/D7)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G8-H8)*(G8-H8)"
"0","2011/02/18","2/18/2011 12:00:00 AM","$5.388","0.0139","Natural Logarithm ($5.3882 / $5.3137)","=ln(D9/D8)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G9-H9)*(G9-H9)"
"0","2011/02/25","2/25/2011 12:00:00 AM","$5.259","-0.0243","Natural Logarithm ($5.2588 / $5.3882)","=ln(D10/D9)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G10-H10)*(G10-H10)"
"0","2011/03/04","3/4/2011 12:00:00 AM","$5.561","0.0558","Natural Logarithm ($5.5608 / $5.2588)","=ln(D11/D10)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G11-H11)*(G11-H11)"
"0","2011/03/11","3/11/2011 12:00:00 AM","$5.569","0.0014","Natural Logarithm ($5.5686 / $5.5608)","=ln(D12/D11)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G12-H12)*(G12-H12)"
"0","2011/03/18","3/18/2011 12:00:00 AM","$5.678","0.0195","Natural Logarithm ($5.6784 / $5.5686)","=ln(D13/D12)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G13-H13)*(G13-H13)"
"0","2011/03/25","3/25/2011 12:00:00 AM","$5.725","0.0083","Natural Logarithm ($5.7255 / $5.6784)","=ln(D14/D13)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G14-H14)*(G14-H14)"
"0","2011/04/01","4/1/2011 12:00:00 AM","$5.863","0.0237","Natural Logarithm ($5.8627 / $5.7255)","=ln(D15/D14)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G15-H15)*(G15-H15)"
"0","2011/04/08","4/8/2011 12:00:00 AM","$5.831","-0.0054","Natural Logarithm ($5.8314 / $5.8627)","=ln(D16/D15)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G16-H16)*(G16-H16)"
"0","2011/04/15","4/15/2011 12:00:00 AM","$5.698","-0.0231","Natural Logarithm ($5.6980 / $5.8314)","=ln(D17/D16)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G17-H17)*(G17-H17)"
"0","2011/04/22","4/22/2011 12:00:00 AM","$5.608","-0.0160","Natural Logarithm ($5.6078 / $5.6980)","=ln(D18/D17)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G18-H18)*(G18-H18)"
"0","2011/04/29","4/29/2011 12:00:00 AM","$5.910","0.0524","Natural Logarithm ($5.9098 / $5.6078)","=ln(D19/D18)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G19-H19)*(G19-H19)"
"0","2011/05/06","5/6/2011 12:00:00 AM","$5.710","-0.0344","Natural Logarithm ($5.7098 / $5.9098)","=ln(D20/D19)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G20-H20)*(G20-H20)"
"0","2011/05/13","5/13/2011 12:00:00 AM","$5.651","-0.0104","Natural Logarithm ($5.6510 / $5.7098)","=ln(D21/D20)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G21-H21)*(G21-H21)"
"0","2011/05/20","5/20/2011 12:00:00 AM","$5.820","0.0294","Natural Logarithm ($5.8196 / $5.6510)","=ln(D22/D21)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G22-H22)*(G22-H22)"
"0","2011/05/27","5/27/2011 12:00:00 AM","$5.725","-0.0163","Natural Logarithm ($5.7255 / $5.8196)","=ln(D23/D22)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G23-H23)*(G23-H23)"
"0","2011/06/03","6/3/2011 12:00:00 AM","$5.506","-0.0391","Natural Logarithm ($5.5059 / $5.7255)","=ln(D24/D23)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G24-H24)*(G24-H24)"
"0","2011/06/10","6/10/2011 12:00:00 AM","$5.463","-0.0079","Natural Logarithm ($5.4627 / $5.5059)","=ln(D25/D24)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G25-H25)*(G25-H25)"
"0","2011/06/17","6/17/2011 12:00:00 AM","$5.494","0.0057","Natural Logarithm ($5.4941 / $5.4627)","=ln(D26/D25)","=SUM(G$3:G$506)/COUNT(G$3:G$506)","=(G26-H26)*(G26-H26)"
