ORDER_NUM,TRX_DT,TRX_DT_RAW,PRICE,CALC_VALUE,CALC_FORMULA,EXCEL_FORMULA,MEAN,SQUARE_OF_DIFF
"0","2014/06/01","6/1/2014 12:00:00 AM","$10.800","0.0265","Natural Logarithm ($10.8000 / $10.5176)","0.0265","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G3-H3)*(G3-H3)"
"0","2014/07/01","7/1/2014 12:00:00 AM","$11.200","0.0364","Natural Logarithm ($11.2000 / $10.8000)","0.0364","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G4-H4)*(G4-H4)"
"0","2014/08/01","8/1/2014 12:00:00 AM","$10.360","-0.0780","Natural Logarithm ($10.3600 / $11.2000)","=ln(D5/D4)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G5-H5)*(G5-H5)"
"0","2014/09/01","9/1/2014 12:00:00 AM","$10.610","0.0238","Natural Logarithm ($10.6100 / $10.3600)","=ln(D6/D5)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G6-H6)*(G6-H6)"
"0","2014/10/01","10/1/2014 12:00:00 AM","$10.030","-0.0562","Natural Logarithm ($10.0300 / $10.6100)","=ln(D7/D6)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G7-H7)*(G7-H7)"
"0","2014/11/01","11/1/2014 12:00:00 AM","$10.750","0.0693","Natural Logarithm ($10.7500 / $10.0300)","=ln(D8/D7)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G8-H8)*(G8-H8)"
"0","2014/12/01","12/1/2014 12:00:00 AM","$10.760","0.0009","Natural Logarithm ($10.7600 / $10.7500)","=ln(D9/D8)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G9-H9)*(G9-H9)"
"0","2015/01/01","1/1/2015 12:00:00 AM","$11.225","0.0423","Natural Logarithm ($11.2250 / $10.7600)","=ln(D10/D9)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G10-H10)*(G10-H10)"
"0","2015/02/01","2/1/2015 12:00:00 AM","$11.010","-0.0193","Natural Logarithm ($11.0100 / $11.2250)","=ln(D11/D10)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G11-H11)*(G11-H11)"
"0","2015/03/01","3/1/2015 12:00:00 AM","$11.480","0.0418","Natural Logarithm ($11.4800 / $11.0100)","=ln(D12/D11)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G12-H12)*(G12-H12)"
"0","2015/04/01","4/1/2015 12:00:00 AM","$11.700","0.0190","Natural Logarithm ($11.7000 / $11.4800)","=ln(D13/D12)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G13-H13)*(G13-H13)"
"0","2015/05/01","5/1/2015 12:00:00 AM","$11.850","0.0127","Natural Logarithm ($11.8500 / $11.7000)","=ln(D14/D13)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G14-H14)*(G14-H14)"
"0","2015/06/01","6/1/2015 12:00:00 AM","$11.990","0.0117","Natural Logarithm ($11.9900 / $11.8500)","=ln(D15/D14)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G15-H15)*(G15-H15)"
"0","2015/07/01","7/1/2015 12:00:00 AM","$12.430","0.0360","Natural Logarithm ($12.4300 / $11.9900)","=ln(D16/D15)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G16-H16)*(G16-H16)"
"0","2015/08/01","8/1/2015 12:00:00 AM","$12.180","-0.0203","Natural Logarithm ($12.1800 / $12.4300)","=ln(D17/D16)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G17-H17)*(G17-H17)"
"0","2015/09/01","9/1/2015 12:00:00 AM","$11.410","-0.0653","Natural Logarithm ($11.4100 / $12.1800)","=ln(D18/D17)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G18-H18)*(G18-H18)"
"0","2015/10/01","10/1/2015 12:00:00 AM","$12.340","0.0784","Natural Logarithm ($12.3400 / $11.4100)","=ln(D19/D18)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G19-H19)*(G19-H19)"
"0","2015/11/01","11/1/2015 12:00:00 AM","$12.510","0.0137","Natural Logarithm ($12.5100 / $12.3400)","=ln(D20/D19)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G20-H20)*(G20-H20)"
"0","2015/12/01","12/1/2015 12:00:00 AM","$12.890","0.0299","Natural Logarithm ($12.8900 / $12.5100)","=ln(D21/D20)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G21-H21)*(G21-H21)"
"0","2016/01/01","1/1/2016 12:00:00 AM","$12.440","-0.0355","Natural Logarithm ($12.4400 / $12.8900)","=ln(D22/D21)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G22-H22)*(G22-H22)"
"0","2016/02/01","2/1/2016 12:00:00 AM","$11.655","-0.0652","Natural Logarithm ($11.6550 / $12.4400)","=ln(D23/D22)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G23-H23)*(G23-H23)"
"0","2016/03/01","3/1/2016 12:00:00 AM","$11.610","-0.0039","Natural Logarithm ($11.6100 / $11.6550)","=ln(D24/D23)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G24-H24)*(G24-H24)"
"0","2016/04/01","4/1/2016 12:00:00 AM","$11.620","0.0009","Natural Logarithm ($11.6200 / $11.6100)","=ln(D25/D24)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G25-H25)*(G25-H25)"
"0","2016/05/01","5/1/2016 12:00:00 AM","$11.550","-0.0060","Natural Logarithm ($11.5500 / $11.6200)","=ln(D26/D25)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G26-H26)*(G26-H26)"
"0","2016/07/01","7/1/2016 12:00:00 AM","$12.000","0.0000","Natural Logarithm ($12.0000 / $12.0000)","=ln(D27/D26)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G27-H27)*(G27-H27)"
"0","2016/08/01","8/1/2016 12:00:00 AM","$11.270","-0.0628","Natural Logarithm ($11.2700 / $12.0000)","=ln(D28/D27)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G28-H28)*(G28-H28)"
"0","2016/09/01","9/1/2016 12:00:00 AM","$12.100","0.0711","Natural Logarithm ($12.1000 / $11.2700)","=ln(D29/D28)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G29-H29)*(G29-H29)"
"0","2016/10/01","10/1/2016 12:00:00 AM","$12.010","-0.0075","Natural Logarithm ($12.0100 / $12.1000)","=ln(D30/D29)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G30-H30)*(G30-H30)"
"0","2016/11/01","11/1/2016 12:00:00 AM","$12.270","0.0214","Natural Logarithm ($12.2700 / $12.0100)","=ln(D31/D30)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G31-H31)*(G31-H31)"
"0","2016/12/01","12/1/2016 12:00:00 AM","$13.620","0.1044","Natural Logarithm ($13.6200 / $12.2700)","=ln(D32/D31)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G32-H32)*(G32-H32)"
"0","2017/01/01","1/1/2017 12:00:00 AM","$13.950","0.0239","Natural Logarithm ($13.9500 / $13.6200)","=ln(D33/D32)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G33-H33)*(G33-H33)"
"0","2017/02/01","2/1/2017 12:00:00 AM","$14.250","0.0213","Natural Logarithm ($14.2500 / $13.9500)","=ln(D34/D33)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G34-H34)*(G34-H34)"
"0","2017/03/01","3/1/2017 12:00:00 AM","$15.010","0.0520","Natural Logarithm ($15.0100 / $14.2500)","=ln(D35/D34)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G35-H35)*(G35-H35)"
"0","2017/04/01","4/1/2017 12:00:00 AM","$14.380","-0.0429","Natural Logarithm ($14.3800 / $15.0100)","=ln(D36/D35)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G36-H36)*(G36-H36)"
"0","2017/05/01","5/1/2017 12:00:00 AM","$13.780","-0.0426","Natural Logarithm ($13.7800 / $14.3800)","=ln(D37/D36)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G37-H37)*(G37-H37)"
"0","2017/06/01","6/1/2017 12:00:00 AM","$13.470","-0.0228","Natural Logarithm ($13.4700 / $13.7800)","=ln(D38/D37)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G38-H38)*(G38-H38)"
"0","2017/07/01","7/1/2017 12:00:00 AM","$13.360","-0.0082","Natural Logarithm ($13.3600 / $13.4700)","=ln(D39/D38)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G39-H39)*(G39-H39)"
"0","2017/08/01","8/1/2017 12:00:00 AM","$13.310","-0.0037","Natural Logarithm ($13.3100 / $13.3600)","=ln(D40/D39)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G40-H40)*(G40-H40)"
"0","2017/09/01","9/1/2017 12:00:00 AM","$13.240","-0.0053","Natural Logarithm ($13.2400 / $13.3100)","=ln(D41/D40)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G41-H41)*(G41-H41)"
"0","2017/10/01","10/1/2017 12:00:00 AM","$13.640","0.0298","Natural Logarithm ($13.6400 / $13.2400)","=ln(D42/D41)","=SUM(G$3:G$79)/COUNT(G$3:G$79)","=(G42-H42)*(G42-H42)"
